Batch,SuccessRate,P50Latency(ms),MeanLatency(ms),StatusCodes,BytesInTotal,BytesInMean
1,0.9919444444444444,7.315,37.115,"200:3571 503:29",3118665,866.2958333333333
2,0.9983333333333333,7.528,20.177,"200:3594 503:6",3134794,870.7761111111112
3,0.9980555555555556,7.518,20.642,"200:3593 503:7",3134023,870.5619444444444
4,0.9975,7.376,20.917,"200:3591 503:9",3133286,870.3572222222223
5,0.9966666666666667,7.745,23.177,"200:3588 503:12",3130471,869.5752777777777
6,0.9972222222222222,7.582,21.019,"200:3590 503:10",3133479,870.4108333333334
7,0.9975,7.700,21.904,"200:3591 503:9",3131867,869.9630555555556
8,0.9983333333333333,7.753,21.024,"200:3594 503:6",3135250,870.9027777777778
9,0.9972222222222222,7.715,21.430,"200:3590 503:10",3132749,870.2080555555556
10,0.9983333333333333,7.841,21.206,"200:3594 503:6",3133883,870.5230555555555
11,0.9980555555555556,7.913,21.623,"200:3593 503:7",3135695,871.0263888888888
12,0.9958333333333333,7.777,21.747,"200:3585 503:15",3127858,868.8494444444444
13,0.9963888888888889,7.795,21.836,"200:3587 503:13",3131238,869.7883333333333
14,0.9986111111111111,7.842,22.456,"200:3595 503:5",3135800,871.0555555555555
15,0.9972222222222222,7.809,21.976,"200:3590 503:10",3131138,869.7605555555556
16,0.9975,7.790,21.911,"200:3591 503:9",3134076,870.5766666666667
17,0.9961111111111111,8.035,21.922,"200:3586 503:14",3128481,869.0225
18,0.9969444444444444,7.860,22.674,"200:3589 503:11",3132500,870.1388888888889
19,0.9975,7.928,22.549,"200:3591 503:9",3131883,869.9675
20,0.9983333333333333,7.760,22.417,"200:3594 503:6",3135265,870.9069444444444
21,0.9980555555555556,7.796,20.356,"200:3593 503:7",3134194,870.6094444444444
22,0.9966666666666667,7.742,21.079,"200:3588 503:12",3130819,869.6719444444444
23,0.9958333333333333,7.847,21.423,"200:3585 503:15",3129078,869.1883333333334
24,0.9975,7.826,21.557,"200:3591 503:9",3132363,870.1008333333333
25,0.995,7.792,23.343,"200:3582 503:18",3127769,868.8247222222222
26,0.9983333333333333,7.770,20.925,"200:3594 503:6",3133882,870.5227777777778
27,0.9966666666666667,7.857,22.548,"200:3588 503:12",3131950,869.9861111111111
28,0.9988888888888889,7.771,21.222,"200:3596 503:4",3136434,871.2316666666667
29,0.9988888888888889,7.745,21.305,"200:3596 503:4",3135447,870.9575
30,0.9988888888888889,7.697,22.296,"200:3596 503:4",3137178,871.4383333333334
31,0.9983333333333333,7.780,21.319,"200:3594 503:6",3134558,870.7105555555555
32,0.9963888888888889,7.829,23.059,"200:3587 503:13",3129932,869.4255555555555
33,0.9986111111111111,7.850,21.545,"200:3595 503:5",3136561,871.2669444444444
34,0.9972222222222222,7.806,21.839,"200:3590 503:10",3132173,870.0480555555556
35,0.9952777777777778,7.895,22.054,"200:3583 503:17",3128031,868.8975
36,0.9977777777777778,7.831,20.619,"200:3592 503:8",3132865,870.2402777777778
37,0.9977777777777778,7.959,23.082,"200:3592 503:8",3132900,870.25
38,0.9975,7.862,21.793,"200:3591 503:9",3133233,870.3425
39,0.9975,7.837,22.579,"200:3591 503:9",3132369,870.1025
40,0.9986111111111111,7.810,20.449,"200:3595 503:5",3136790,871.3305555555555
41,0.9986111111111111,7.729,21.463,"200:3595 503:5",3135764,871.0455555555556
42,0.9977777777777778,7.881,21.993,"200:3592 503:8",3133141,870.3169444444444
43,0.9966666666666667,7.684,20.926,"200:3588 503:12",3131836,869.9544444444444
44,0.9980555555555556,7.776,22.559,"200:3593 503:7",3134256,870.6266666666667
45,0.9966666666666667,7.845,22.506,"200:3588 503:12",3130068,869.4633333333334
46,0.9972222222222222,7.843,20.793,"200:3590 503:10",3132741,870.2058333333333
47,0.9927777777777778,7.975,43.047,"200:3574 503:26",3120855,866.9041666666667
48,0.9983333333333333,7.780,21.486,"200:3594 503:6",3134730,870.7583333333333
49,0.9991666666666666,7.783,20.530,"200:3597 503:3",3136801,871.3336111111112
50,0.9963888888888889,7.891,22.599,"200:3587 503:13",3130539,869.5941666666666
51,0.9977900552486187,7.771,21.872,"200:2709 503:6",2362956,870.3337016574586
52,1,7.566,13.576,"200:122",107623,882.155737704918
