Batch,SwitchTime,ErrorRate,MeanLatency(ms),P95(ms),P99(ms),Status200,Status503,SuccessCount,ErrorCount,CalculatedErrorRate
74,22.056783116,"503 Service Unavailable",33.027,196.316,434.679,2309,1291,2309,1291,0.358611
75,24.940377803,"503 Service Unavailable",35.886,228.241,440.215,2156,1444,2156,1444,0.401111
76,26.905240030,"503 Service Unavailable",36.463,245.601,445.172,2060,1540,2060,1540,0.427778
77,25.751248313,"503 Service Unavailable",36.633,249.622,432.090,2115,1485,2115,1485,0.412500
78,22.022081814,"503 Service Unavailable",33.774,189.211,424.410,2336,1264,2336,1264,0.351111
79,28.413859981,"503 Service Unavailable",38.190,264.125,455.208,1948,1652,1948,1652,0.458889
80,21.943461753,"503 Service Unavailable",33.026,181.690,435.067,2341,1259,2341,1259,0.349722
81,28.197271525,"503 Service Unavailable",38.441,275.408,444.536,1940,1660,1940,1660,0.461111
82,31.024213687,"503 Service Unavailable",40.240,280.117,465.044,1798,1802,1798,1802,0.500556
83,23.042110624,"503 Service Unavailable",34.039,195.044,428.422,2294,1306,2294,1306,0.362778
84,23.914127628,"503 Service Unavailable",34.228,220.043,419.541,2227,1373,2227,1373,0.381389
85,26.707444536,"503 Service Unavailable",37.141,254.631,436.461,2066,1534,2066,1534,0.426111
86,25.244353577,"503 Service Unavailable",36.919,251.146,444.536,2146,1454,2146,1454,0.403889
87,25.098927710,"503 Service Unavailable",35.893,240.344,443.155,2143,1457,2143,1457,0.404722
88,33.203078764,"503 Service Unavailable",40.352,282.998,456.947,1941,1659,1941,1659,0.460833
89,27.319568857,"503 Service Unavailable",38.650,264.769,428.365,2011,1589,2011,1589,0.441389
90,29.089543630,"503 Service Unavailable",38.399,282.773,465.983,1890,1710,1890,1710,0.475000
91,24.225341529,"503 Service Unavailable",35.578,219.325,446.408,2183,1417,2183,1417,0.393611
92,28.964378962,"503 Service Unavailable",39.321,277.997,444.682,1900,1700,1900,1700,0.472222
93,25.940523638,"503 Service Unavailable",37.171,244.149,460.228,2128,1472,2128,1472,0.408889
94,24.025763880,"503 Service Unavailable",34.286,202.213,429.691,2264,1336,2264,1336,0.371111
95,28.967168028,"503 Service Unavailable",38.660,275.893,454.259,1936,1664,1936,1664,0.462222
96,30.911995986,"503 Service Unavailable",39.106,275.017,451.373,1824,1776,1824,1776,0.493333
97,25.977707417,"503 Service Unavailable",35.903,236.697,427.287,2089,1511,2089,1511,0.419722
98,29.412838263,"503 Service Unavailable",39.146,283.278,460.574,1871,1729,1871,1729,0.480278
99,22.843843319,"503 Service Unavailable",33.768,185.202,439.768,2279,1321,2279,1321,0.366944
100,21.962637623,"503 Service Unavailable",32.311,166.203,437.261,2339,1261,2339,1261,0.350278
