Iteration,Timestamp,Namespace,Service,Timeout(s),Delay(s),Rate,Duration,Total,SuccessRatio(%),SuccessCount,Errors,TimeoutHits,TimeoutHitRate(%),TimeoutAccuracyMean(ms),TimeoutAccuracyP95(ms),WastedTimeMean(ms),WastedTimeP95(ms),P95_200(ms),P99_200(ms)
44,20250826_003158,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,254.415153,291.347562
45,20250826_003300,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,252.41417,292.47885
46,20250826_003401,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,255.198215,293.836346
47,20250826_003503,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,257.105636,293.339072
48,20250826_003604,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,245.482164,286.811553
49,20250826_003706,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,253.190119,292.064977
50,20250826_003807,objs-fed,backend,1,0.2,60,60s,3600,100,3600,0,0,0,0,0,0,0,260.794585,311.129519
51,20250826_003911,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,547.526881,590.910133
52,20250826_004013,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,541.117442,582.689037
53,20250826_004115,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,543.98521,583.398816
54,20250826_004216,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,541.479233,589.008685
55,20250826_004318,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,545.092826,582.216407
56,20250826_004420,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,546.162316,584.504143
57,20250826_004522,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,542.821241,584.470746
58,20250826_004624,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,541.048575,585.870126
59,20250826_004725,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,545.429569,585.512324
60,20250826_004827,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,543.747961,588.335306
61,20250826_004929,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,543.852077,584.436868
62,20250826_005031,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,544.832135,588.9218
63,20250826_005132,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,544.067724,583.694124
64,20250826_005234,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,543.347921,589.972712
65,20250826_005336,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,544.532215,590.952951
66,20250826_005438,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,550.739762,589.064943
67,20250826_005540,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,543.706261,585.441369
68,20250826_005641,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,538.570094,586.412554
69,20250826_005743,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,540.273556,587.124595
70,20250826_005845,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,541.581052,591.211535
71,20250826_005947,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,545.692753,591.444815
72,20250826_010048,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,547.077221,588.110143
73,20250826_010150,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,541.36859,584.656703
74,20250826_010253,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,546.010951,587.938106
