Batch,SwitchTime,ErrorRate,MeanLatency(ms),P95(ms),P99(ms)
1,34.004922581,[],89.904,198.074,2325.035
2,23.184503863,[],16.758,72.682,109.315
3,28.413369130,[],17.345,75.900,133.351
4,30.123838096,[],15.419,67.134,103.788
5,30.176419685,[],14.895,63.554,96.755
6,27.162488335,[],16.367,74.496,114.006
7,30.239769327,[],16.006,68.532,106.545
8,21.403682131,[],17.952,82.352,145.065
9,30.150663790,[],16.206,72.032,104.839
10,23.166595070,[],16.262,72.262,107.276
11,21.161031937,[],16.748,75.381,118.734
12,22.250062043,[],16.904,73.565,109.510
13,23.423584633,[],15.293,66.107,99.518
14,25.299899753,[],16.690,73.844,111.405
15,23.462854297,[],17.211,75.572,129.955
16,28.226309955,[],15.989,71.941,117.060
17,26.353709220,[],16.174,70.870,104.323
18,27.227487259,[],15.546,63.934,108.452
19,22.249573931,[],16.815,73.197,105.987
20,22.297464519,[],17.184,75.181,118.412
21,28.150726062,[],16.784,73.780,113.427
22,29.191767660,[],15.424,65.288,111.308
23,23.383493615,[],18.255,73.368,137.448
24,30.204071227,[],16.899,76.074,123.255
25,28.335684101,[],15.069,68.991,102.409
26,27.187806136,[],15.738,68.573,102.049
27,21.337294541,[],16.532,70.971,109.584
28,22.221001622,[],15.894,68.596,105.075
29,29.769666217,[],15.994,70.060,114.032
30,21.156929214,[],15.981,68.013,109.407
31,22.227961660,[],15.032,62.720,95.481
32,26.279848482,[],17.215,73.529,124.140
33,25.112859529,[],16.196,72.666,106.109
34,25.239416039,[],15.121,65.984,101.569
35,23.242802807,[],16.291,70.560,132.178
36,30.228213703,[],17.057,76.473,132.329
37,29.173005927,[],15.362,66.513,102.740
38,28.292036837,[],15.477,66.927,100.952
39,23.326849113,[],15.748,65.736,109.664
40,26.269603478,[],17.617,81.730,141.122
41,28.253386431,[],15.723,69.897,104.686
42,25.230394643,[],17.535,76.972,136.176
43,31.203042690,[],16.108,71.173,106.775
44,22.142655459,[],16.575,71.437,109.525
45,25.227642120,[],16.068,70.384,107.509
46,28.151295534,[],16.906,73.356,116.774
47,30.356228139,[],15.724,67.407,101.559
48,27.271356469,[],16.244,70.161,104.146
49,28.124321500,[],15.766,66.638,103.403
50,22.169869730,[],16.137,69.529,108.135
51,30.469128275,[],16.224,70.989,109.001
52,31.225528660,[],15.129,63.431,101.527
53,24.202542825,[],16.115,70.845,106.245
54,22.260266441,[],15.896,67.645,111.092
55,25.166133248,[],15.768,71.249,108.523
56,24.629767250,[],16.365,74.369,112.406
57,21.233994611,[],16.778,73.139,106.824
58,23.340371616,[],16.106,67.756,109.607
59,27.513493592,[],16.523,75.376,118.869
60,28.175644069,[],16.077,68.066,132.049
61,25.163756328,[],16.891,74.833,116.074
62,22.225482614,[],14.780,63.319,97.607
63,26.141712789,[],15.836,68.952,109.199
64,24.518632513,[],16.802,72.523,109.175
65,29.522060469,[],15.031,67.662,101.126
66,23.455055657,[],16.144,72.080,110.483
67,38.018389248,[],16.390,72.440,125.365
68,25.265078927,[],15.249,68.106,97.486
69,21.287328147,[],16.824,74.254,107.976
70,30.157576097,[],15.175,65.812,100.122
71,30.171203662,[],15.443,68.310,102.580
72,22.206564210,[],16.784,73.825,127.472
73,25.358650718,[],15.515,65.832,101.145
74,31.310151508,[],15.685,69.538,104.234
75,23.392959273,[],15.038,63.941,98.313
76,25.343059116,[],15.538,64.352,98.666
77,25.471202992,[],17.359,77.250,135.270
78,24.412458850,[],16.723,75.655,114.967
79,30.134103400,[],16.522,72.638,113.589
80,23.196810063,[],16.551,74.756,111.715
81,29.137932918,[],15.515,68.248,103.758
82,26.272726543,[],16.707,76.040,126.902
83,30.159537928,[],15.103,65.048,100.538
84,22.174158881,[],17.406,79.852,125.444
85,23.112516206,[],15.645,67.684,96.165
86,26.297652342,[],16.276,73.588,108.663
87,24.150607616,[],16.493,72.819,107.083
88,24.251191321,[],18.263,82.829,147.034
89,28.269909542,[],16.389,72.772,115.448
90,26.311909628,[],16.458,75.385,119.287
91,23.165643477,[],16.903,74.036,122.832
92,22.235433196,[],16.952,73.284,107.503
93,28.123810993,[],16.288,70.281,107.586
94,22.399925774,[],16.477,72.836,106.474
95,22.185439893,[],16.085,70.883,105.041
96,27.131379599,[],16.565,73.665,111.906
97,23.203354778,[],16.145,70.667,107.566
98,29.188355769,[],16.440,72.311,114.982
99,29.558989977,[],16.556,72.821,148.712
100,25.113301395,[],17.730,77.359,134.794
