Batch,SwitchTime,ErrorRate,MeanLatency(ms),P95(ms),P99(ms)
1,27.13353316,[],17.736,74.309,149.825
2,29.17026408,[],16.52,71.102,104.09
3,24.22483036,[],16.101,68.137,125.977
4,22.35342797,[],16.237,70.284,104.526
5,23.3880813,[],16.846,73.276,138.365
6,31.30061665,[],16.343,72.002,107.555
7,22.32224519,[],16.293,71.699,104.075
8,25.31679307,[],16.642,72.928,112.2
9,31.12739514,[],15.642,66.341,106.758
10,25.19673446,[],16.063,73.522,107.707
11,27.4197526,[],16.442,72.723,115.167
12,30.14612559,[],16.092,73.283,113.111
13,21.29605285,[],16.572,73.259,120.712
14,31.20876089,[],15.597,65.723,112.527
15,24.39493045,[],16.668,76.208,111.445
16,29.12687586,[],15.128,64.662,100.139
17,27.24256928,[],15.076,64.642,98.659
18,28.18451283,[],16.525,72.025,106.931
19,25.27462402,[],15.31,65.491,99.653
20,21.19108706,[],14.749,64.355,97.243
21,23.28833877,[],17.074,73.325,129.859
22,29.49073507,[],15.911,70.329,107.84
23,26.93549891,[],16.849,71.668,113.003
24,27.26512494,[],17.018,74.512,115.992
25,27.2494615,[],16.863,74.69,108.477
26,27.30375739,[],17.367,80.604,139.353
27,27.14482649,[],16.293,74.485,111.996
28,31.16226675,[],15.721,69.297,103.36
29,23.3057534,[],15.588,67.153,102.723
30,27.2659868,[],15.64,72.06,105.276
31,22.21713814,[],16.709,72.937,115.748
32,24.37814338,[],17.834,76.067,140.117
33,31.14280006,[],27.104,80.451,609.408
34,27.14598168,[],16.451,74.965,116.361
35,29.1465723,[],16.058,73.416,108.774
36,26.2954599,[],16.27,75.024,107.168
37,23.17565175,[],15.57,66.276,100.681
38,29.2392347,[],15.668,67.742,104.16
39,24.31157924,[],16.516,74.936,111.339
40,21.13599501,[],16.646,71.569,107.676
41,23.2656734,[],16.426,73.574,108.149
42,27.35285901,[],17.352,75.34,109.204
43,27.24662516,[],16.249,73.066,108.799
44,23.31518438,[],17.351,75.699,111.04
45,26.14346752,[],14.816,62.964,96.655
46,27.19511815,[],16.011,71.519,100.031
47,21.34157427,[],15.289,65.174,101.655
48,29.26123956,[],16.091,74.852,111.448
49,27.13870846,[],15.778,68.22,102.562
50,30.39884395,[],17.248,75.498,109.954
51,26.14391268,[],15.546,64.129,107.5
52,28.42576313,[],15.251,65.189,102.6
53,22.23875152,[],15.405,67.62,100.943
54,29.14803712,[],16.229,73.324,112.513
55,27.39086215,[],14.796,64.619,100.094
56,24.2370169,[],16.271,72.083,106.917
57,31.29140751,[],15.731,70.286,110.774
58,21.2390089,[],15.821,67.65,104.426
59,30.91870503,[],15.473,70.014,103.778
60,23.16260206,[],16.383,74.989,109.485
61,29.441226,[],15.514,67.033,109.179
62,22.31246108,[],16.256,74.857,103.245
63,23.113213,[],15.988,72.589,104.855
64,23.14331563,[],15.622,65.11,98.845
65,27.26346272,[],16.452,74.716,120.128
66,24.31428256,[],16.404,74.288,114.207
67,28.26490498,[],16.111,71.808,105.601
68,26.93133367,[],16.428,73.33,108.552
69,29.17833736,[],19.857,78.048,203.977
70,26.13426864,[],17.537,76.431,116.726
71,30.20059191,[],16.565,72.958,106.57
72,27.29422738,[],16.284,72.143,117.731
73,29.13967289,[],15.904,69.156,120.171
74,27.33976903,[],15.902,67.238,111.038
75,31.12916518,[],17.244,76.186,130.218
76,24.15532024,[],16.112,69.848,112.676
77,31.40075892,[],16.422,72.854,107.664
78,23.42900317,[],16.739,75.337,122.155
79,28.15531029,[],15.881,68.897,102.496
80,22.44905601,[],16.395,73.01,108.058
81,22.23919717,[],16.876,68.262,131.872
82,26.20037786,[],16.67,71.941,111.378
83,29.31693986,[],16.41,72.388,114.721
84,25.16322043,[],16.962,75.333,109.75
85,28.16631591,[],16.375,72.596,106.938
86,24.23212237,[],16.956,74.708,112.913
87,23.34754952,[],16.451,73.992,107.443
88,22.18376363,[],17.793,75.005,127.851
89,30.1294748,[],17.221,76.184,145.108
90,30.26756287,[],15.913,71.16,108.124
91,24.12885584,[],17.199,77.739,127.485
92,30.22358309,[],15.988,69.333,118.28
93,29.24281465,[],14.77,64.63,104.39
94,24.40073509,[],16.627,72.464,113.095
95,28.23378734,[],15.991,71.693,104.977
96,22.34308714,[],16.155,65.971,116.313
97,22.17794799,[],15.144,63.799,95.297
98,25.36779285,[],16.052,71.283,105.546
99,26.52667843,[],16.362,75.752,118.665
100,26.11417218,[],15.599,71.728,103.405
